구분	작업	주요 업무	세부 업무	API Endpoint
급여	이체파일	다운로드	결재 승인 사원 대상 은행별 엑셀 빌드	POST /pay/admin/payroll/{payrollRunId}/transfer-file
급여	이체파일	누락자 안내	계좌·은행코드 누락자 제외 + `X-Skipped-Employees` 헤더 회신, FE alert	POST /pay/admin/payroll/{payrollRunId}/transfer-file (response header)
급여	이체파일	빈 파일 차단	결재 승인 0명 시 다운로드 자체 차단	(FE 가드 + 백엔드)
급여	이체파일	은행별 양식	POI 자체 빌드, 은행별 컬럼명·순서 차별화, 합계 행/시트 메타	(백엔드 BankTransferFileGenerator)
급여	비과세/세액	비과세 한도 적용	`taxablePart()` 헬퍼 분기 처리	(백엔드 도메인 헬퍼)
급여	비과세/세액	한도 안내 문구	`taxExemptHintText` 자동 노출	(FE / 백엔드 응답 DTO)
급여	비과세/세액	소득세 클램프	표 최대 행 단건 조회 + Service에서 클램프	POST /pay/admin/payroll/calc-deductions
급여	비과세/세액	사회보험 요율	연도별 시드 SQL + 회사별 row 1행 lookup	GET / POST /pay/admin/insurance-rates (관련 API)
급여	비과세/세액	정산보험료 안내	보험종류별 정산 시기/근거 표 노출	(FE 정적 + InsuranceSettlement 관련 API)
급여	사원 급여정보	목록/검색	사번·이름 검색, 페이징	GET /pay/admin/employees
급여	사원 급여정보	사원 상세	급여 관련 정보 통합 조회	GET /pay/admin/employees/{empId}
급여	사원 급여정보	급여계좌 수정	오픈뱅킹 인증 토큰 검증 후 저장	PUT /pay/admin/employees/{empId}/account
급여	사원 급여정보	부양가족수 수정	입력 값 즉시 소득세 계산 반영	PUT /pay/admin/employees/{empId}/dependents
급여	사원 급여정보	퇴직연금계좌 수정	회사 pensionType 분기 (DC/DB_DC만 노출)	PUT /pay/admin/employees/{empId}/retirement-account
급여	사원 급여정보	퇴직연금 유형 변경	DB ↔ DC 전환	PUT /pay/admin/employees/{empId}/retirement-type
급여	사원 급여정보	사전 산정 미리보기	변경 전후 예상 공제액 미리 계산	GET /pay/admin/employees/expected-deductions
급여	계좌 검증	오픈뱅킹 1원 인증	Redis 5분 TTL 토큰 보관 + 1회용 삭제	POST /pay/account/verify
급여	사원 등록 통합	급여 정보 통합	사원 등록 시 계좌·부양가족·퇴직연금 같은 트랜잭션 저장	(사원 등록 + 급여 API 조합)
급여	퇴직금	산정	3개월 평균임금 기준 자동 산정	POST /pay/admin/severance/calculate
급여	퇴직금	목록 조회	산정 결과 목록	GET /pay/admin/severance
급여	퇴직금	상세 조회	사원별 산정 상세	GET /pay/admin/severance/{sevId}
급여	퇴직금	사원별 확정	`CALCULATING` → `CONFIRMED`	PUT /pay/admin/severance/{sevId}/confirm
급여	퇴직금	결재 묶음 처리	같은 시점 다중 사원 묶음 결재	(확정 + 결재 통합 처리)
급여	퇴직금	지급 처리	`APPROVED` → `PAID`	PUT /pay/admin/severance/pay
급여	퇴직금	예상 산정	임의 시점 추정액 조회	GET /pay/admin/severance/estimate
급여	퇴직연금(DC)	자동 산정	급여 PAID 시 `PayrollPaidEvent` → 리스너 SCHEDULED INSERT	POST /pay/admin/pension-deposits/create
급여	퇴직연금(DC)	목록 조회	기간/사원 필터 조회	GET /pay/admin/pension-deposits
급여	퇴직연금(DC)	사원별 이력	특정 사원의 적립 이력	GET /pay/admin/pension-deposits/employee/{empId}
급여	퇴직연금(DC)	단건 등록	운영자 임의 row 등록	POST /pay/admin/pension-deposits
급여	퇴직연금(DC)	단건 삭제	적립 이력 단건 삭제	DELETE /pay/admin/pension-deposits/{depId}
급여	퇴직연금(DC)	월별 집계	월별 적립 합계 조회	GET /pay/admin/pension-deposits/monthly-summary
급여	퇴직연금(DC)	사원별 집계	사원별 누적 적립 조회	GET /pay/admin/pension-deposits/by-employee
급여	퇴직연금(DC)	명세 엑셀	임의 기간(from~to) 단일 엔드포인트로 다운로드	GET /pay/admin/pension-deposits/excel
급여	연차수당	연말 미사용 산정	연말 기준 미사용 연차 일괄 산정	GET /pay/admin/leave-allowance/year-end
급여	연차수당	입사일 기준 산정	anniversary 기준 산정 대상 조회	GET /pay/admin/leave-allowance/anniversary
급여	연차수당	퇴직예정자 정산	retireStatus IN (ACTIVE, CONFIRMED) 필터 적용	GET /pay/admin/leave-allowance/resigned
급여	연차수당	산정 실행	선택 사원 대상 연차수당 산정	POST /pay/admin/leave-allowance/calculate
급여	연차수당	급여 반영	해당월 급여대장 지급항목으로 반영 (반영불가는 skip)	POST /pay/admin/leave-allowance/apply-to-payroll
급여	연차수당	산정대기 인원수	화면 상단 카운트 표시	GET /pay/admin/leave-allowance/pending-review/count
급여	연차수당	정책 유형 조회	회사 연차 정책 유형 노출	GET /pay/admin/leave-allowance/policy-type
급여	퇴직 처리	퇴직 신청 목록	상태별 조회	GET /resign
급여	퇴직 처리	퇴직 상태 조회	사원 퇴직 상태 단건 조회	GET /resign/status
급여	퇴직 처리	처리 실행	퇴직 처리 + 후속 자동 산정 (연차수당·퇴직금·일할계산)	GET /resign/{resignId}/process
급여	퇴직 처리	정보 수정	퇴직 처리 전 수정	PUT /resign/{resignId}
급여	퇴직 처리	신청 취소	퇴직 처리 전 취소	DELETE /resign/{resignId}
급여	내 급여 조회	기본 정보	연봉·비과세 한도 포함	GET /pay/my/info
급여	내 급여 조회	급여명세서 목록	월별 명세서 목록	GET /pay/my/stubs
급여	내 급여 조회	급여명세서 상세	특정 월 지급/공제 상세	GET /pay/my/stubs/{stubId}
급여	내 급여 조회	퇴직연금 적립	본인 적립 이력	GET /pay/my/pension
급여	내 급여 조회	퇴직금 추정	현 시점 예상 퇴직금	GET /pay/my/severance-estimate
급여	사내 휴일	법정공휴일 시드	UNIQUE + ON DUPLICATE KEY UPDATE 멱등 적재, prod ON	(시드 SQL + spring.sql.init)
급여	사내 휴일	사내 휴일 등록/수정/삭제	HR 관리자 휴일 관리	(HolidayAdminController)
급여	사내 휴일	휴일근무수당 반영	등록 휴일이 휴일근무수당·연차 영업일에 즉시 반영	(백엔드 산정 로직)
회사 관리	회사 등록	정보 입력	회사명·사업자번호·대표자 등 기본 정보 입력	POST /sysadmin/companies (정의 필요)
회사 관리	회사 등록	UUID 발급	회사 UUID 자동 생성 (얼굴 로그인·임직원 가입 키)	(백엔드 entity 생성 시)
회사 관리	회사 상태	상태 전환	ACTIVE / SUSPENDED / DELETED 토글	PATCH /sysadmin/companies/{companyId}/status (정의 필요)
회사 관리	회사 상태	데이터 격리	DELETED 시 얼굴 인증 데이터 등 연쇄 삭제	(백엔드 cascade)
회사 관리	회사 조회	목록 조회	페이징·검색 + 가입일·사원 수 표시	GET /sysadmin/companies (정의 필요)
회사 관리	회사 조회	상세 조회	특정 회사 상세 정보	GET /sysadmin/companies/{companyId} (정의 필요)
내 설정	프로필 이미지	업로드	multipart/form-data 업로드	POST /employee/me/profile-image
내 설정	프로필 이미지	삭제	본인 프로필 이미지 제거 → 기본 이미지 대체	DELETE /employee/me/profile-image
내 설정	프로필 이미지	이미지 서빙	사번 기반 이미지 정적 서빙	GET /employee/profile-images/**
내 설정	프로필 이미지	fallback 처리	로드 실패 시 기본 이미지 표시	(FE onError 핸들러)
