대분류	중분류(기능)	소분류	구분코드	요구사항 상세
급여	급여대장	결재 상신	REQ-PAY-011	확정된 사원을 대상으로 결재를 상신할 수 있어야 한다. 부분 결재(2차 상신) 시나리오를 지원해야 한다.
급여	급여대장	사원별 상태 SoT	REQ-PAY-012	사원별 상태(`payrollEmpStatus`: CALCULATING/CONFIRMED/PENDING_APPROVAL/APPROVED/PAID)를 진실 공급원으로 사용해야 한다.
급여	급여대장	부분 결재 표시	REQ-PAY-013	사원별 결재 결과(승인/반려)가 다를 때 화면에 정확히 분리 표시되어야 한다.
급여	급여대장	사원별 지급	REQ-PAY-014	결재 승인된 사원 단위로 지급(`PAID`) 처리할 수 있어야 한다.
급여	급여대장	부분 지급 갱신	REQ-PAY-015	부분 지급 시 해당 사원의 `unpaid`는 0으로, 상단 집계 `unpaidAmount`는 미지급 사원의 순급여 합계로 즉시 갱신되어야 한다.
급여	급여대장	다중 일괄 처리	REQ-PAY-016	인사담당자는 다중 선택으로 결재상신·지급·이체파일 다운로드를 일괄 수행할 수 있어야 한다.
급여	급여대장	확정 alert	REQ-PAY-017	급여대장 확정 시 사용자에게 확인 alert를 노출해야 한다. (실수 방지)
급여	비과세/세액	비과세 한도 적용	REQ-PAY-018	`taxablePart()` 헬퍼로 한도 분기 처리: isTaxable=true 전액 과세, isTaxable=false&limit>0 max(0,amount-limit)만 과세, isTaxable=false&limit≤0 전액 비과세.
급여	비과세/세액	한도 안내 문구	REQ-PAY-019	비과세 한도 입력 화면에 정책 안내 문구(`taxExemptHintText`)가 자동 노출되어야 한다.
급여	비과세/세액	소득세 클램프	REQ-PAY-020	월급여가 간이세액표 최대(`salary_max`)를 초과하면 표 최대 행 세액으로 클램프하여 0원이 되지 않아야 한다.
급여	비과세/세액	사회보험 요율 시드	REQ-PAY-021	회사 생성 시점 외에도 과거/미래 연도의 사회보험 요율이 시드되어 정산·재계산이 가능해야 한다.
급여	비과세/세액	정산보험료 안내	REQ-PAY-022	정산보험료 페이지에 보험종류별 정산 시기/근거 표가 노출되어야 한다.
급여	이체파일	다운로드	REQ-PAY-023	인사담당자는 결재 승인된 사원 대상으로 은행별 엑셀(.xlsx) 이체파일을 다운로드할 수 있어야 한다.
급여	이체파일	누락자 안내	REQ-PAY-024	계좌·은행코드 누락자는 다운로드 대상에서 제외하고 `X-Skipped-Employees` 헤더(URL-encoded JSON)로 명단을 회신, 프론트는 alert로 사용자 안내해야 한다.
급여	이체파일	빈 파일 차단	REQ-PAY-025	결재 승인 사원이 0명이면 다운로드 자체를 차단해야 한다.
급여	이체파일	은행별 양식 차별화	REQ-PAY-026	은행별 컬럼명·순서를 차별화하여 운영자가 어느 은행 양식인지 즉시 인지할 수 있어야 한다. (POI 자체 빌드, 외부 양식 의존 0)
급여	사원 급여정보	사원 목록/검색	REQ-PAY-027	인사담당자는 사번·이름으로 사원 급여정보를 검색·조회할 수 있어야 한다.
급여	사원 급여정보	급여계좌 등록/수정	REQ-PAY-028	인사담당자는 사원의 급여계좌를 등록·수정할 수 있어야 한다. (오픈뱅킹 인증 필수)
급여	사원 급여정보	부양가족수 입력	REQ-PAY-029	인사담당자는 사원의 부양가족수를 입력할 수 있고, 입력값은 소득세 계산에 즉시 반영되어야 한다.
급여	사원 급여정보	퇴직연금계좌 등록	REQ-PAY-030	인사담당자는 사원의 퇴직연금계좌를 등록할 수 있어야 한다. (회사 pensionType이 DC/DB_DC일 때만 노출)
급여	사원 급여정보	퇴직연금 유형 변경	REQ-PAY-031	인사담당자는 사원의 퇴직연금 유형(DB/DC)을 변경할 수 있어야 한다.
급여	사원 급여정보	사전 산정 미리보기	REQ-PAY-032	인사담당자는 사원 정보 변경 전후의 예상 공제 금액을 미리 조회할 수 있어야 한다.
급여	계좌 검증	오픈뱅킹 1원 인증	REQ-PAY-033	계좌 등록 시 오픈뱅킹 1원 인증을 통한 실명 검증을 수행해야 한다. 토큰은 Redis 5분 TTL로 보관, 저장 시 1회용 삭제.
급여	사원 등록 통합	급여 정보 통합 입력	REQ-PAY-034	사원 신규등록 화면에 급여계좌·부양가족수·퇴직연금계좌 입력 섹션을 통합하여 같은 트랜잭션에서 일괄 저장해야 한다.
급여	퇴직금	퇴직금 산정	REQ-PAY-035	인사담당자는 퇴직 대상 사원의 퇴직금을 자동 산정할 수 있어야 한다. (3개월 평균임금 기준)
급여	퇴직금	산정 결과 조회	REQ-PAY-036	인사담당자는 퇴직금 산정 결과 목록과 상세를 조회할 수 있어야 한다.
급여	퇴직금	사원별 확정	REQ-PAY-037	인사담당자는 사원 단위로 퇴직금을 확정(`CONFIRMED`)할 수 있어야 한다.
급여	퇴직금	결재 묶음 처리	REQ-PAY-038	같은 시점 다중 사원 퇴직 시 한 결재 문서로 묶어 발송할 수 있어야 한다.
급여	퇴직금	지급 처리	REQ-PAY-039	결재 승인된 퇴직금을 지급(`PAID`)할 수 있어야 한다.
급여	퇴직금	예상 산정 조회	REQ-PAY-040	임의 시점 기준 퇴직금 추정액을 사전 조회할 수 있어야 한다.
급여	퇴직연금(DC)	자동 산정	REQ-PAY-041	매월 급여 PAID 처리 시 `PayrollPaidEvent` 발행 → 리스너가 DC 가입 사원 대상으로 `SCHEDULED` 상태 row를 자동 INSERT해야 한다.
급여	퇴직연금(DC)	적립 전환	REQ-PAY-042	운영자는 [월별 일괄 적립] 버튼으로 `SCHEDULED` → `COMPLETED`로 일괄 전환할 수 있어야 한다.
급여	퇴직연금(DC)	명세 엑셀	REQ-PAY-043	임의 기간(from~to) 단위로 단일 엔드포인트에서 DC 명세 엑셀을 다운로드할 수 있어야 한다.
급여	퇴직연금(DC)	사원별 적립 이력	REQ-PAY-044	사원별 적립 이력을 조회할 수 있어야 한다.
급여	연차수당	연말 미사용 산정	REQ-PAY-045	인사담당자는 연말 기준 미사용 연차에 대한 수당을 자동 산정할 수 있어야 한다.
급여	연차수당	입사일 기준 산정	REQ-PAY-046	인사담당자는 사원 입사 anniversary 기준 미사용 연차 수당을 산정할 수 있어야 한다.
급여	연차수당	퇴직예정자 정산	REQ-PAY-047	`Resign.retireStatus=CONFIRMED`(퇴직예정) 사원도 연차수당 산정 대상에 포함되어야 한다. (필터: `Resign.retireStatus IN (ACTIVE, CONFIRMED)`)
급여	연차수당	급여 반영	REQ-PAY-048	산정된 연차수당을 해당월 급여대장의 지급항목으로 반영(`apply-to-payroll`)할 수 있어야 한다.
급여	연차수당	산정대기 인원 표시	REQ-PAY-049	산정대기 인원수를 화면에 정확히 표시해야 한다. (반영불가 사원은 skip 처리)
급여	퇴직 처리	자동 산정 트리거	REQ-PAY-050	퇴직 처리(`processResign`) 트랜잭션 내에서 연차수당 후보 INSERT·즉시 산정·퇴직금 재산정·이번달 일할계산이 자동 호출되어야 한다. (1클릭 완료)
급여	퇴직 처리	퇴직 신청 목록	REQ-PAY-051	인사담당자는 퇴직 신청 목록을 상태별로 조회할 수 있어야 한다.
급여	퇴직 처리	퇴직 처리 실행	REQ-PAY-052	인사담당자는 결재 승인된 퇴직 신청에 대해 [퇴직처리]를 실행할 수 있어야 한다.
급여	퇴직 처리	퇴직 정보 수정/취소	REQ-PAY-053	인사담당자는 퇴직 처리 전에 한해 퇴직 정보 수정·취소를 할 수 있어야 한다.
급여	내 급여 조회	기본 정보	REQ-PAY-054	일반 사원은 본인의 급여 기본 정보(연봉, 비과세 한도 포함)를 조회할 수 있어야 한다.
급여	내 급여 조회	급여명세서 목록	REQ-PAY-055	일반 사원은 본인의 월별 급여명세서 목록을 조회할 수 있어야 한다.
급여	내 급여 조회	급여명세서 상세	REQ-PAY-056	일반 사원은 특정 월의 급여명세서 상세(지급/공제 내역)를 조회할 수 있어야 한다.
급여	내 급여 조회	퇴직연금 적립 내역	REQ-PAY-057	일반 사원은 본인의 퇴직연금 적립 내역을 조회할 수 있어야 한다.
급여	내 급여 조회	퇴직금 추정	REQ-PAY-058	일반 사원은 현 시점 기준 본인의 예상 퇴직금을 조회할 수 있어야 한다.
급여	사내 휴일	법정공휴일 시드	REQ-PAY-059	`holidays` 테이블에 NATIONAL 휴일이 시드되어야 한다. (UNIQUE 제약 + ON DUPLICATE KEY UPDATE 멱등성)
급여	사내 휴일	사내 휴일 등록	REQ-PAY-060	HR 관리자는 사내 휴일을 등록·수정·삭제할 수 있어야 한다.
급여	사내 휴일	휴일근무수당 반영	REQ-PAY-061	등록된 휴일은 휴일근무수당 산정과 연차 영업일 계산에 즉시 반영되어야 한다.
회사 관리	회사 등록	회사 정보 입력	REQ-CMP-001	시스템 관리자는 회사명·사업자번호·대표자·연락처를 입력해 회사를 등록할 수 있어야 한다.
회사 관리	회사 등록	UUID 발급	REQ-CMP-002	회사 등록 시 UUID가 자동 발급되어 얼굴 로그인·임직원 가입에 사용되어야 한다.
회사 관리	회사 상태	상태 전환	REQ-CMP-003	시스템 관리자는 회사 상태를 ACTIVE / SUSPENDED / DELETED로 전환할 수 있어야 한다.
회사 관리	회사 상태	데이터 격리	REQ-CMP-004	회사 DELETED 시 소속 임직원 얼굴 인증 데이터까지 연쇄 삭제되어 데이터 격리가 보장되어야 한다.
회사 관리	회사 조회	목록 조회	REQ-CMP-005	시스템 관리자는 회사 목록을 페이징·검색으로 조회할 수 있고 가입일·사원 수가 표시되어야 한다.
회사 관리	회사 조회	상세 조회	REQ-CMP-006	시스템 관리자는 특정 회사의 상세 정보를 조회할 수 있어야 한다.
내 설정	프로필 이미지	업로드	REQ-MYS-001	사원은 본인의 프로필 이미지를 업로드(multipart/form-data)할 수 있어야 한다.
내 설정	프로필 이미지	표시	REQ-MYS-002	등록된 프로필 이미지가 내 정보 화면, 일정 참석자, 사원 검색 등 사원 관련 화면에 일관되게 표시되어야 한다.
내 설정	프로필 이미지	삭제	REQ-MYS-003	사원은 본인의 프로필 이미지를 삭제할 수 있어야 하며, 삭제 시 기본 이미지로 대체되어야 한다.
내 설정	프로필 이미지	오류 처리	REQ-MYS-004	내 급여 조회 등 사원 관련 화면에서 프로필 이미지 로드 실패 시 기본 이미지로 fallback 처리되어야 한다.
